"gene_id","module_color"
"ENSG00000000460","yellow"
"ENSG00000001460","blue"
"ENSG00000001631","brown"
"ENSG00000002549","blue"
"ENSG00000002746","blue"
"ENSG00000003147","brown"
"ENSG00000003987","yellow"
"ENSG00000003989","red"
"ENSG00000004399","brown"
"ENSG00000004864","yellow"
"ENSG00000004939","turquoise"
"ENSG00000005059","turquoise"
"ENSG00000005243","blue"
"ENSG00000005381","turquoise"
"ENSG00000005421","brown"
"ENSG00000005483","brown"
"ENSG00000005801","brown"
"ENSG00000005882","brown"
"ENSG00000006016","blue"
"ENSG00000006071","blue"
"ENSG00000006116","turquoise"
"ENSG00000006282","brown"
"ENSG00000006459","yellow"
"ENSG00000006468","blue"
"ENSG00000006607","brown"
"ENSG00000006634","yellow"
"ENSG00000006712","green"
"ENSG00000007168","brown"
"ENSG00000007372","turquoise"
"ENSG00000008517","blue"
"ENSG00000008869","brown"
"ENSG00000009694","brown"
"ENSG00000009709","turquoise"
"ENSG00000010244","brown"
"ENSG00000010438","blue"
"ENSG00000010539","brown"
"ENSG00000011143","brown"
"ENSG00000011258","yellow"
"ENSG00000011295","brown"
"ENSG00000011304","green"
"ENSG00000012171","blue"
"ENSG00000012211","brown"
"ENSG00000013275","blue"
"ENSG00000013293","turquoise"
"ENSG00000014914","blue"
"ENSG00000015153","brown"
"ENSG00000015592","blue"
"ENSG00000017483","blue"
"ENSG00000017797","blue"
"ENSG00000018189","brown"
"ENSG00000019144","blue"
"ENSG00000020922","brown"
"ENSG00000021776","brown"
"ENSG00000022355","turquoise"
"ENSG00000023041","brown"
"ENSG00000023516","yellow"
"ENSG00000023608","blue"
"ENSG00000023909","blue"
"ENSG00000025039","blue"
"ENSG00000025423","turquoise"
"ENSG00000027001","brown"
"ENSG00000027644","blue"
"ENSG00000029153","blue"
"ENSG00000031698","blue"
"ENSG00000033122","turquoise"
"ENSG00000033800","brown"
"ENSG00000034152","green"
"ENSG00000036257","brown"
"ENSG00000036828","turquoise"
"ENSG00000037965","turquoise"
"ENSG00000039319","brown"
"ENSG00000039523","green"
"ENSG00000039600","turquoise"
"ENSG00000041353","blue"
"ENSG00000042286","turquoise"
"ENSG00000042493","blue"
"ENSG00000043039","green"
"ENSG00000044446","brown"
"ENSG00000046604","blue"
"ENSG00000047188","brown"
"ENSG00000047346","brown"
"ENSG00000047365","brown"
"ENSG00000047936","grey"
"ENSG00000048052","turquoise"
"ENSG00000048405","brown"
"ENSG00000048545","turquoise"
"ENSG00000048707","yellow"
"ENSG00000048828","brown"
"ENSG00000049130","brown"
"ENSG00000049283","red"
"ENSG00000049540","blue"
"ENSG00000050165","blue"
"ENSG00000052749","brown"
"ENSG00000053501","blue"
"ENSG00000053524","turquoise"
"ENSG00000053900","brown"
"ENSG00000054356","blue"
"ENSG00000054690","brown"
"ENSG00000055957","turquoise"
"ENSG00000056097","brown"
"ENSG00000056277","yellow"
"ENSG00000057468","yellow"
"ENSG00000058085","blue"
"ENSG00000058799","brown"
"ENSG00000059758","brown"
"ENSG00000060566","turquoise"
"ENSG00000060749","brown"
"ENSG00000061936","brown"
"ENSG00000061987","brown"
"ENSG00000062096","green"
"ENSG00000062485","brown"
"ENSG00000062716","yellow"
"ENSG00000062822","blue"
"ENSG00000063180","blue"
"ENSG00000063322","blue"
"ENSG00000063515","turquoise"
"ENSG00000064300","green"
"ENSG00000064490","blue"
"ENSG00000064652","turquoise"
"ENSG00000064886","blue"
"ENSG00000065000","brown"
"ENSG00000065325","turquoise"
"ENSG00000065361","red"
"ENSG00000065371","blue"
"ENSG00000065485","blue"
"ENSG00000065526","brown"
"ENSG00000065534","blue"
"ENSG00000065559","brown"
"ENSG00000065665","yellow"
"ENSG00000065883","brown"
"ENSG00000065923","brown"
"ENSG00000066382","blue"
"ENSG00000066697","blue"
"ENSG00000066739","brown"
"ENSG00000066777","brown"
"ENSG00000066813","turquoise"
"ENSG00000067057","blue"
"ENSG00000067141","brown"
"ENSG00000067221","blue"
"ENSG00000067596","brown"
"ENSG00000067704","brown"
"ENSG00000068079","blue"
"ENSG00000068308","blue"
"ENSG00000068784","yellow"
"ENSG00000069018","turquoise"
"ENSG00000069399","brown"
"ENSG00000069535","blue"
"ENSG00000070087","yellow"
"ENSG00000070182","blue"
"ENSG00000070366","brown"
"ENSG00000070476","brown"
"ENSG00000070526","yellow"
"ENSG00000070748","turquoise"
"ENSG00000070756","brown"
"ENSG00000070808","blue"
"ENSG00000070886","turquoise"
"ENSG00000070961","brown"
"ENSG00000071073","yellow"
"ENSG00000071082","brown"
"ENSG00000071189","yellow"
"ENSG00000071859","blue"
"ENSG00000071909","grey"
"ENSG00000072042","blue"
"ENSG00000072110","blue"
"ENSG00000072163","green"
"ENSG00000072182","turquoise"
"ENSG00000072195","blue"
"ENSG00000072682","blue"
"ENSG00000072756","yellow"
"ENSG00000073417","brown"
"ENSG00000073605","turquoise"
"ENSG00000073712","green"
"ENSG00000074054","brown"
"ENSG00000074582","blue"
"ENSG00000074603","yellow"
"ENSG00000074755","brown"
"ENSG00000075188","brown"
"ENSG00000075340","yellow"
